a	あ
o	お
e	え
u	う
i	い
'	あい
,	おう
.	えい
p	うう
y	いい
;	あん
q	おん
j	えん
k	うん
x	いん
ca	か
co	こ
ce	け
cu	く
ci	き
c'	かい
c,	こう
c.	けい
cp	くう
cy	きい
c;	かん
cq	こん
cj	けん
ck	くん
cx	きん
cna	きゃ
cno	きょ
cne	きぇ
cnu	きゅ
cni	きぃ
cn'	きゃい
cn,	きょう
cn.	きぇい
cnp	きゅう
cny	きぃい
cn;	きゃん
cnq	きょん
cnj	きぇん
cnk	きゅん
cnx	きぃん
cc	っ	c
sa	さ
so	そ
se	せ
su	す
si	し
s'	さい
s,	そう
s.	せい
sp	すう
sy	しい
s;	さん
sq	そん
sj	せん
sk	すん
sx	しん
sha	しゃ
sho	しょ
she	しぇ
shu	しゅ
shi	しぃ
sh'	しゃい
sh,	しょう
sh.	しぇい
shp	しゅう
shy	しぃい
sh;	しゃん
shq	しょん
shj	しぇん
shk	しゅん
shx	しぃん
ss	っ	s
ta	た
to	と
te	て
tu	つ
ti	ち
t'	たい
t,	とう
t.	てい
tp	つう
ty	ちい
t;	たん
tq	とん
tj	てん
tk	つん
tx	ちん
tna	ちゃ
tno	ちょ
tne	ちぇ
tnu	ちゅ
tni	ちぃ
tn'	ちゃい
tn,	ちょう
tn.	ちぇい
tnp	ちゅう
tny	ちぃい
tn;	ちゃん
tnq	ちょん
tnj	ちぇん
tnk	ちゅん
tnx	ちぃん
tha	てゃ
tho	てょ
the	てぇ
thu	てゅ
thi	てぃ
th'	てゃい
th,	てょう
th.	てぇい
thp	てゅう
thy	てぃい
th;	てゃん
thq	てょん
thj	てぇん
thk	てゅん
thx	てぃん
tt	っ	t
na	な
no	の
ne	ね
nu	ぬ
ni	に
n'	ない
n,	のう
n.	ねい
np	ぬう
ny	にい
n;	なん
nq	のん
nj	ねん
nk	ぬん
nx	にん
nha	にゃ
nho	にょ
nhe	にぇ
nhu	にゅ
nhi	にぃ
nh'	にゃい
nh,	にょう
nh.	にぇい
nhp	にゅう
nhy	にぃい
nh;	にゃん
nhq	にょん
nhj	にぇん
nhk	にゅん
nhx	にぃん
nn	ん
ha	は
ho	ほ
he	へ
hu	ふ
hi	ひ
h'	はい
h,	ほう
h.	へい
hp	ふう
hy	ひい
h;	はん
hq	ほん
hj	へん
hk	ふん
hx	ひん
hna	ひゃ
hno	ひょ
hne	ひぇ
hnu	ひゅ
hni	ひぃ
hn'	ひゃい
hn,	ひょう
hn.	ひぇい
hnp	ひゅう
hny	ひぃい
hn;	ひゃん
hnq	ひょん
hnj	ひぇん
hnk	ひゅん
hnx	ひぃん
hh	っ	h
ma	ま
mo	も
me	め
mu	む
mi	み
m'	まい
m,	もう
m.	めい
mp	むう
my	みい
m;	まん
mq	もん
mj	めん
mk	むん
mx	みん
mna	みゃ
mno	みょ
mne	みぇ
mnu	みゅ
mni	みぃ
mn'	みゃい
mn,	みょう
mn.	みぇい
mnp	みゅう
mny	みぃい
mn;	みゃん
mnq	みょん
mnj	みぇん
mnk	みゅん
mnx	みぃん
mm	っ	m
fa	や
fo	よ
fe	え
fu	ゆ
fi	い
f'	やい
f,	よう
f.	えい
fp	ゆう
fy	いい
f;	やん
fq	よん
fj	えん
fk	ゆん
fx	いん
ff	っ	f
fta	ふぁ
fto	ふぉ
fte	ふぇ
ftu	ふ
fti	ふぃ
ft'	ふぁい
ft,	ふぉう
ft.	ふぇい
ftp	ふう
fty	ふぃい
ft;	ふぁん
ftq	ふぉん
ftj	ふぇん
ftk	ふん
ftx	ふぃん
fsa	ふぁ
fso	ふぉ
fse	ふぇ
fsu	ふ
fsi	ふぃ
fs'	ふぁい
fs,	ふぉう
fs.	ふぇい
fsp	ふう
fsy	ふぃい
fs;	ふぁん
fsq	ふぉん
fsj	ふぇん
fsk	ふん
fsx	ふぃん
fna	ふゃ
fno	ふょ
fne	ふぇ
fnu	ふゅ
fni	ふぃ
fn'	ふゃい
fn,	ふょう
fn.	ふぇい
fnp	ふゅう
fny	ふぃい
fn;	ふゃん
fnq	ふょん
fnj	ふぇん
fnk	ふゅん
fnx	ふぃん
ra	ら
ro	ろ
re	れ
ru	る
ri	り
r'	らい
r,	ろう
r.	れい
rp	るう
ry	りい
r;	らん
rq	ろん
rj	れん
rk	るん
rx	りん
rha	りゃ
rho	りょ
rhe	りぇ
rhu	りゅ
rhi	りぃ
rh'	りゃい
rh,	りょう
rh.	りぇい
rhp	りゅう
rhy	りぃい
rh;	りゃん
rhq	りょん
rhj	りぇん
rhk	りゅん
rhx	りぃん
rr	っ	r
wa	わ
wo	を
we	ゑ
wu	う
wi	ゐ
w'	わい
w,	をう
w.	ゑい
wp	うう
wy	ゐい
w;	わん
wq	をん
wj	ゑん
wk	うん
wx	ゐん
wha	うぁ
who	うぉ
whe	うぇ
whu	うぅ
whi	うぃ
wh'	うぁい
wh,	うぉう
wh.	うぇい
whp	うぅう
why	うぃい
wh;	うぁん
whq	うぉん
whj	うぇん
whk	うぅん
whx	うぃん
wr	っ	r
ga	が
go	ご
ge	げ
gu	ぐ
gi	ぎ
g'	がい
g,	ごう
